Complexity,Loss,Equation
1,1.8887769,"3.32774"
3,1.0325311,"x11 * 0.6601223"
5,0.4073142,"(x9 + x11) * 0.36108202"
7,0.23657997,"((x11 + 2.3421013) + x7) * 0.48303652"
9,0.21049008,"((x5 * 0.5349582) + (x9 * 0.42122447)) + 1.4204228"
11,0.21049005,"((x9 + (x5 * 0.5349564)) + 1.4204352) + (x9 * -0.578778)"
13,0.20687728,"(x5 * 0.53553885) + ((x9 * ((x4 * -0.0066007413) + 0.42117202)) + 1.4218183)"
15,0.13267423,"((x9 * 0.42177066) + 1.4102404) - (x5 * ((x5 * (x5 * 0.0189043)) + -0.75325227))"
17,0.08271753,"(x9 * 0.38077256) - (((((6.198352 - x11) * -0.01047565) * x5) + -0.34488803) * (x5 + x11))"
19,0.08047417,"(-0.14982897 + (x9 * 0.40203652)) - ((((6.2551217 - x11) * (x5 * -0.010921473)) + -0.3519424) * (x11 + x5))"
21,0.07916858,"(x9 * 0.16942544) + (0.2963801 - ((((x5 * -0.009035466) * (7.5955706 - x11)) + -0.25194398) * (x5 + (x11 + x9))))"
23,0.071267545,"((x9 * 0.43549523) - ((((((x9 * -0.4093904) + (7.9119635 - x11)) * -0.010794989) * x5) + -0.3499018) * (x11 + x5))) + -0.29720497"
25,0.0702698,"((x9 * 0.41810265) + 1.5492518) - (((((-0.08458362 - (x11 * -0.02368238)) * x5) + ((-0.22105339 - (x9 * -0.026645483)) * x9)) + -0.4276936) * x5)"
27,0.06720952,"(x9 * 0.42457032) - (((((-0.105782494 - (x11 * -0.024040261)) * (x5 + 0.84557164)) + (((-0.18909055 - (x9 * -0.022922307)) * x9) + -0.49484104)) * x5) - 1.5169562)"
29,0.06418496,"(x9 * 0.42318588) + (1.5827192 - ((x5 - 0.07369425) * (((x5 + 1.3826997) * (-0.12059807 - (x11 * -0.024349991))) + (((-0.24337168 - (x9 * -0.028485626)) * x9) + -0.36310047))))"
