Complexity,Loss,Equation
1,2.870336,"9.659767"
3,1.3660078,"x10 + 0.5226196"
5,0.4093049,"(x8 + x4) * 0.6690571"
7,0.29648197,"(x4 + (x8 + 3.062436)) * 0.5551228"
9,0.21256799,"(0.45174056 - (x4 * -0.031740706)) * (x8 + 7.0128565)"
11,0.21254702,"((0.452468 - (x4 * -0.030389689)) * (x8 + 7.954684)) - 0.44126105"
13,0.20825303,"(0.44276887 - (x4 * -0.038096104)) * (((x4 * -0.33126152) + x8) + 7.5389953)"
15,0.13542926,"(((0.86612326 - ((x4 * x4) * 0.019100484)) * x4) + (x8 * 0.42982754)) + 3.5304627"
17,0.12321848,"(x4 * (0.89414155 - (((x4 * x4) * 0.0069586) * x0))) + ((x8 * 0.43700066) + 3.4226573)"
19,0.10572613,"(((0.95921487 - ((x4 * ((x4 * x0) + x6)) * 0.0093242265)) * x4) + 3.1386209) + (x8 * 0.45652765)"
21,0.09702631,"((0.99333245 - ((0.010780629 * (x6 + ((-0.67277145 + x4) * x0))) * x4)) * x4) + ((x8 * 0.46138936) + 2.9861197)"
23,0.08974927,"(((x4 * (((x4 * x0) - -7.7781744) * x4)) * -0.00939954) + 3.2681062) + ((x4 * (x10 * 0.10437239)) + (x8 * 0.44133064))"
25,0.07989709,"((x8 * 0.45484108) + (x4 * (x10 * 0.10710698))) + ((x4 * ((((x4 * x0) - (x8 * -0.5274825)) * x4) * -0.0103474045)) + 3.0823512)"
27,0.07080221,"(x8 * ((((((x4 * x0) + x5) - (x10 * -0.9523645)) * (x4 * x4)) * -0.0006553744) + 0.46825418)) + (2.8991814 + ((x4 * 0.110930465) * x10))"
