Complexity,Loss,Equation
1,2.101606,"0.6205308"
3,1.1219928,"x11 * 0.23639661"
5,0.5755036,"(x11 * 0.48533553) - 1.4352049"
7,0.318118,"((x11 * x9) * 0.061186753) + -1.3572372"
9,0.27193806,"(((x5 + x9) + x11) * 0.2531889) + -2.316263"
11,0.25798345,"(((x11 + x9) * 0.29792097) + (x5 * 0.17661957)) - 2.8403795"
13,0.2444633,"((((x7 * -0.03568439) + 0.5599963) * x9) + (x5 * 0.47460258)) + -3.3645518"
15,0.088576585,"((x9 * 0.4805278) + (x11 + -6.8595357)) * (0.7145613 - ((x5 * x5) * 0.02591685))"
17,0.05357509,"((x5 * (0.07662827 - (x11 * 0.019997513))) - -0.72224265) * (((x9 * 0.4283285) + x11) + -6.466403)"
19,0.046555243,"(((0.11251205 - (x11 * 0.021446448)) * (x5 + 1.1536188)) - -0.7106017) * ((x11 + (x9 * 0.43712956)) + -6.54318)"
21,0.04639052,"(((x5 * (0.117199436 - (x11 * 0.02169605))) - -0.8553299) - (x11 * 0.027617104)) * (((0.43192294 * x9) + x11) + -6.4981956)"
23,0.04600377,"((((x5 * (0.12181615 - (x11 * 0.021445911))) - -0.83769053) - (x11 * 0.025579564)) * ((x9 * 0.44116008) + (x11 + -6.1097503))) - 0.31945407"
25,0.037732776,"((1.5414022 - (x9 * 0.04825114)) * ((x11 + ((x9 * 0.6759824) + -5.8111277)) * ((x5 * (0.09088274 - (x11 * 0.015548916))) - -0.520272))) + -1.3322653"
29,0.021109557,"(((((0.07978553 - (x11 * 0.012899148)) * x5) - -0.4237433) * ((x9 * 0.6774169) + (x11 + -5.4443355))) + -1.0606678) * (((x7 * (x2 - x9)) * 0.0128961075) - -1.3971765)"
