Complexity,Loss,Equation
1,1470.3973,"59.55179"
3,25.000002,"x1 * x0"
5,9.904398e-12,"(x1 * x0) + 5.0"
7,8.392362e-12,"x1 * ((5.0 / x1) + x0)"
9,8.251391e-12,"x1 * (x0 + ((5.0000005 / x1) + -3.02025e-8))"
11,7.810285e-12,"((((5.0 + x0) - x0) / x1) + x0) * x1"
15,7.373728e-12,"((5.0 / x1) + ((x0 + x0) - (x1 * (x0 / x1)))) * x1"
17,7.08269e-12,"x1 * (x0 + ((((x1 * (x0 / x1)) - x0) / -1.2946869) + (5.0 / x1)))"
23,6.9439923e-12,"x1 * (((x0 - (x1 * (((((x0 - -0.0002784343) / x1) * x1) + -0.00027849048) / x1))) + x0) + (4.9999995 / x1))"
