Complexity,Loss,Equation
1,2.399686,"1.9602005"
3,0.2756057,"x5 + 1.6492573"
5,0.18373898,"(x5 + 2.048387) * 0.8308333"
7,0.18373893,"((x5 + 2.2466636) * 0.8308224) - 0.16472706"
9,0.17394878,"(x5 * (0.8462919 + (0.023097701 * x7))) + 1.6957262"
11,0.009210441,"(x5 * ((x5 * (x5 * -0.055019535)) + 1.2581887)) + 1.754357"
13,0.0025788324,"(x5 * ((((x5 + -0.39956278) * x5) * -0.05818831) + 1.2658452)) + 1.6857688"
15,0.0024030774,"(x5 * (((x5 * -0.05938956) * (x5 + (-0.09657201 * x1))) + 1.2742771)) - -1.6912072"
17,0.0018624989,"(x5 * ((((x5 + ((x2 + x1) * -0.050687633)) * x5) * -0.05896348) + 1.2711631)) - -1.6883957"
19,0.00013518316,"(((((x5 + -0.3261666) * (((x5 * x5) * 0.0016116675) + -0.083138525)) * x5) + 1.3355136) * x5) + 1.6891136"
21,8.757133e-6,"(((((((x5 * (x5 * 0.0018078699)) + -0.08544146) * x5) + -0.032087907) * (x5 + -0.80903894)) + 1.3133528) * x5) + 1.6799344"
23,7.674284e-6,"(x5 * (((((((x5 * -3.9609637e-5) + 0.0018357275) * x5) * x5) + -0.08596812) * (x5 * (x5 - 0.39264587))) + 1.3402041)) + 1.6818025"
25,7.674181e-6,"((x5 * ((((x5 - 0.39268342) * x5) * ((((x5 * -3.9626382e-5) + 0.0018358299) * (x5 * x5)) + -0.085969485)) + 1.3402064)) + 1.6820573) - 0.00026020195"
29,7.04716e-6,"(x5 * ((((((x5 * x5) * 0.0018270512) + ((x5 * ((x5 * (x5 * -2.5892974e-5)) + -0.00023999136)) + -0.0858998)) * (x5 - 0.40684664)) * x5) + 1.3399292)) + 1.6811125"
