Complexity,Loss,Equation
1,1470.3973,"54.548183"
3,1.0677645e-11,"x0 * x1"
5,1.06708245e-11,"x0 * (x1 + -7.869303e-9)"
7,9.8161835e-12,"((x1 + 1.0) * x0) - x0"
9,7.123937e-12,"((x1 + -0.49494374) * x0) - (x0 * -0.49494374)"
13,7.121663e-12,"((-0.49494374 + x1) * x0) - (-0.49494374 * ((x0 - 0.3629192) + 0.3629192))"
17,7.039809e-12,"((-0.49494374 + x1) * ((x0 - 0.3629192) + 0.3629192)) - (-0.49494374 * ((x0 - 0.3629192) + 0.3629192))"
19,6.431016e-12,"((x1 + -0.49494377) * x0) - (x0 * (-0.49494377 - (x0 - (x0 / ((1.0 / x0) * x0)))))"
