Complexity,Loss,Equation
1,2.855912,"3.0648139"
3,1.3649896,"x10 + 3.0191617"
5,1.0041304,"(x10 - -4.372106) * 0.69375026"
7,0.29983044,"((x4 + x8) * 0.55320096) + 3.2292893"
9,0.22763804,"(x8 * 0.46151027) + ((x4 * 0.66572034) + 3.198581)"
13,0.21336448,"((x8 * 0.4547793) + 3.2838762) + (x4 * ((x4 * -0.025673619) + 0.68217623))"
15,0.08724213,"((((x10 * x10) * -0.01376684) + 0.45731378) * ((x10 + x4) + x8)) + 3.2159073"
17,0.06271596,"((x4 + (x8 + x10)) * (((x8 + (x10 * x10)) * -0.014953457) + 0.46971247)) + 3.306081"
19,0.04917315,"((x8 + (x10 + x4)) * ((x10 * (((x8 * 0.4143761) + x10) * -0.016597563)) + 0.50146693)) + 3.2319424"
21,0.048737634,"((((x10 * (x10 + ((x8 * 0.40521938) + -0.13409048))) * -0.016695075) + 0.5011471) * ((x8 + x4) + x10)) + 3.2138646"
23,0.035542704,"(((((x8 * (x8 * 0.23949121)) + (x10 * x10)) * -0.015919195) + 0.49832022) * (((x4 + x8) + x10) + -1.633167)) + 3.9422183"
25,0.028846374,"((((x6 * ((-1.3481872 - x8) * 0.005603029)) + ((x10 * x10) * -0.01618063)) + 0.5029039) * ((x8 + x10) + (x4 + -1.868506))) + 4.0821433"
27,0.02824991,"((x8 + (x4 + (x10 + -1.558586))) * (((x6 + x10) * ((-1.017748 - x8) * 0.0038524994)) + (((x10 * x10) * -0.016766462) + 0.5101544))) + 3.9706619"
29,0.022987556,"(((x6 * ((((x4 * -0.68921775) - x8) * 0.0059760795) + -0.0077768005)) + (((x10 * x10) * -0.017611561) + 0.52336013)) * ((x8 + x10) + (x4 + -1.5802089))) + 3.9818914"
